Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1880,-.29,-.18,-.11,-.20,-.12,-.23,-.21,-.09,-.16,-.23,-.20,-.23
1881,-.16,-.17,.04,.04,.02,-.20,-.07,-.03,-.14,-.21,-.22,-.11
1882,.14,.15,.03,-.19,-.16,-.26,-.21,-.06,-.10,-.25,-.16,-.25
1883,-.32,-.39,-.13,-.17,-.20,-.13,-.08,-.15,-.21,-.14,-.22,-.16
1884,-.16,-.08,-.37,-.43,-.37,-.41,-.35,-.26,-.  27,-.24,-.30,-.29
1885,-.59,-.30,-.25,-.42,-.42,-.44,-.36,-.32,-.28,-.19,-.20,-.05
1886,-.42,-.45,-.39,-.28,-.26,-.39,-.22,-.34,-.29,-.29,-.31,-.27
1887,-.73,-.52,-.34,-.39,-.32,-.24,-.23,-.32,-.30,-.33,-.23,-.34
1888,-.38,-.36,-.41,-.22,-.22,-.18,-.09,-.16,-.31,.02,.01,-.06
1889,-.11,.19,.08,.07,-.02,-.14,-.10,-.20,-.32,-.22,-.33,-.30
1890,-.44,-.45,-.40,-.37,-.45,-.27,-.27,-.38,-.33,-.24,-.48,-.31
1891,-.42,-.47,-.19,-.28,-.18,-.20,-.20,-.16,-.34,-.21,-.35,-.04
1892,-.28,-.12,-.35,-.35,-.25,-.23,-.32,-.25,-.35,-.13,-.42,-.39
1893,-.80,-.54,-.23,-.30,-.36,-.29,-.16,-.27,-.36,-.17,-.17,-.35
1894,-.54,-.33,-.25,-.48,-.35,-.44,-.26,-.22,-.37,-.21,-.25,-.20
1895,-.44,-.42,-.29,-.25,-.27,-.24,-.18,-.16,-.38,-.08,-.15,-.16
1896,-.26,-.14,-.26,-.31,-.18,-.14,-.04,-.04,-.39,.11,-.08,-.04
1897,-.15,-.15,-.14,-.02,-.05,-.16,-.07,-.11,-.40,-.12,-.19,-.19
1898,-.03,-.30,-.52,-.33,-.32,-.21,-.24,-.25,-.41,-.33,-.38,-.25
1899,-.19,-.40,-.34,-.21,-.23,-.33,-.18,-.07,-.42,-.05,.12,-.28
1900,-.37,-.03,.01,-.12,-.10,-.13,-.13,-.10,-.43,.09,-.10,-.07
1901,-.24,-.04,.08,-.04,-.17,-.13,-.16,-.20,-.44,-.31,-.17,-.28
1902,-.20,-.03,-.29,-.30,-.35,-.35,-.30,-.32,-.45,-.29,-.39,-.46
1903,-.26,-.04,-.24,-.43,-.44,-.46,-.37,-.49,-.46,-.48,-.45,-.52
1904,-.68,-.58,-.51,-.55,-.56,-.51,-.54,-.50,-.47,-.40,-.22,-.35
